id,name,address,contact,Email Address, district,type,,
146,M/s. PES University Institute of Medical Sciences and Research Blood Centre,"Sy.no. 37,38, 2nd floor, General Hospital Building, PES University, EC Campus, Hosur Road, Konappana Agrahara, Electronic City, Bengaluru, Dist. Bangalore Urban",9113217141,bloodbank.msr@sparshhospital.com,Private,Camps,,
147,M/S Sri Siddhartha Medical College AND Hospital Blood Centre,"T-Begur,T.Begur,Nelamangala, Bengalore Rural, Dist. Bangalore Rural",99861252450836-2239000,shrc.bloodbank@gmail.com,Private,Camps,,
148,"M/S Suchirayu Health Care Solutions Ltd., Blood Centre","Suchirayu Health care Ltd., Sy.No.29/8,9,10,11, M.Tippasandra,Javali Garden, Off Gokula road,Hubli, Dharwad, Dist. Dharwad",8792969868,jaydevabb@gmail.com,Private,Camps,,
149,Mudhol (BSU),"Taluka Hospital Mudhol, Mudhol, Dist. Bagalkot",9845244774 9036363678,maheshwarappa.m@smsimsr.org,Govt.,Camps,,
150,Mulbagal (BSU),"H Mulbagal Blood Storage Centre, mulbagal, Dist. Kolar",9845664320,dk.srinivasinstitutemch.bb@gmaiol.com,Govt.,Camps,,
151,Mvj Medical College And Research Hospital,"Dandupalya, Kolathur Post, NH-4, Hoskote, Bangalore, Dist. Bangalore Rural",0,laboratoryblr@sssihms.org.in,Private,Camps,,
152,Nagamangala (BSU),Dist. Mandya,8884623415,nandiniinamdar@yahoo.co.in,Govt.,Camps,,
153,"Narayana Hrudayalaya, Surgical Hospital Pvt. Ltd.","CAH-1, 3rd Phase, Devanur, Mysore, Dist. Mysore",8147796454,ssmcbloodbank@gmail.com,Private,Camps,,
154,NAVAJEEVAN,"(A Unit of Navajeevan Health and social service association) Near R.T.O Offices,  Kalburgi, Kosagi Building, Dist. Kalaburagi",0,srpatilbloodcentre@gmail.com,Private,Camps,,
155,Navalgunda (BSU),Dist. Dharwad,9945636880,ssbloodbank17@gmail.com,Govt.,Camps,,
156,"Navjeevan Medical Relief And Research Foundation, St.Joseph'S Hospital Blood Centre","331/1, L176/2, Bannimantap, St. Joseph's Hospital, 331/1, L176/2, Bannimantap, Mysore -570 015, Mysore, Dist. Mysore",0,lab@stmarthas.in,Charitable/Vol,Camps,,
157,Nelamangala (BSU),"Bangalore, , Dist. Bangalore Rural",0,subbaiahbloodbank@gmail.com,Govt.,Camps,,
158,Nimahns Blood Centre Bengaluru,"1st Cross, 1st Block, Someshwara Nagar, Bengaluru, Dist. Bangalore Urban",9845760054,sdhppura@gmail.com,Govt.,Camps,,
159,Nitte University Blood Centre,"Justice K.S. Hegde Charitable Hospial, Deraalatte, Mangalore, Dist. Dakshina Kannada",9.85E+19,laboratory@sugunahospital.com,Private,Camps,,
160,Ocean Blood Centre,"No. 133-134, K.P. Broadway Road, Shivajinagar, Bangalore, Dist. Bangalore Urban",0,surakshabloodbankglb@gmail.com,Private,Camps,,
161,Pavgada (BSU),Dist. Tumkur,9686344900,surya.hbb16@gmail.com,Govt.,Camps,,
162,PKS General Hospital Blood Storage Centre  BSU,"CHC Birur ,Kadur Taluk,Chikmagalur , Birur, Dist. Chikmagalur",0,office@bangalorehospital.co.in,Govt.,Camps,,
163,Puttur (BSU),Dist. Dakshina Kannada,7259307250,svcbb@rocketmail.com,Govt.,Camps,,
164,Raichur Blood Centre,"No. 12-7-13/1B, 1st Floor GoshalaRoad,Raichur, Dist. Raichur",08532 - 236088 236089,swamyvivekanandabloodbank@gmail.com,Private,Camps,,
165,Rajiv Gandhi Super Speciality Hospital Blood Centre,"Hyderabad Road, Raichur, Dist. Raichur",0,amohoskote@gmail.com,Private,Camps,,
166,Ramdurga (BSU),"Belagavi, , Dist. Belagavi",0,tghnrpura@gmail.com,Govt.,Camps,,
167,Ranibennur (BSU),Dist. Haveri,9739972029,ghtarikere@gmail.com,Govt.,Camps,,
168,RED CIRCLE BLOOD CENTRE,"2 ND FLOOR ASHVINI AYURVEDA HOS! PITAL MA RALURU RING ROAD TUMKURR, 2ND FLOOR ASHVINI AYURVEDA HOSPITAL MARALUR RING ROAD TUMKUR, Tumkur, Dist. Tumkur",9663186456,surgeonvirajpet@gmail.com,Charitable/Vol,Camps,,
169,Red Life Blood Centre,"4th Floor, Hesaragatta Road Above Nikhil Netrlaya, Near Bagalagunte Triveni School Mallasandra,T.Dasarhalli, Banglore, Dist. Bangalore Urban",0,thankola314@gmail.com,Charitable/Vol,Camps,,
170,Rona (BSU),Dist. Gadag,9535133127,bloodstindi104@gmail.com,Govt.,Camps,,
171,ROTARY BLOOD CENTRE,"no 166, 3rd floor,5th main, Chamarajpet Bangalore , Chamarajpet, Dist. Bangalore Urban",9.45E+19,glb.districthospital.bb@gmail.com,Charitable/Vol,Camps,,
172,Rotary Charitable Trust Blood Centre,"New Extension Area, Nippani, Chikkodi Tq, Belgaum, Dist. Belagavi",8181228000,bloodbanktomch@gmail.com,Charitable/Vol,Camps,,
173,Rotary IMA Blood Centre,"Ass no. 599/2781/1145, Soppugudde, Thirthahalli, Shimoga- Dist, Thirthahalli, Dist. Shimoga",9.73E+19,uk.uttarakannada.bb@gmail.com,Private,Camps,,
174,Rotary Mysore Chandrakala Hospital Blood Centre,"Plot 'A', Kalidasa Road, Jayalakshmipuram, Mysore, Dist. Mysore",9448111244,tungalhospitalbc@gmail.com,Private,Camps,,
175,"Rotary Seva Sanghs Dr. B. C. Ajari Memorial, The Rotary Blood Bank","RS NO. 211/1B, P.NO.14C, YOGIKOLLA ROAD, GOKAK, GOKAK, Dist. Belagavi",9743499991,uniquebb92@gmail.com,Charitable/Vol,Camps,,
176,Rotary Tumkur Central (Belli Blood Bank),"Khath No.303A, 321/A & 303/A/321 Ward No:13, Gandhinagara Tumkur, Tumkur, Dist. Tumkur",0,vims@gmail.com,Private,Camps,,
177,Sagara (BSU),Dist. Shimoga,9591991883,sanjeevinibloodbank6@gmail.com,Govt.,Camps,,
178,Sagar Hospital,"44/54, 30th Cross, Tilak Nagar, Jayangar Extension, Bangalore, Dist. Bangalore Urban",0,vijayapurbloodcentrevijayapur@gmail.com,Private,Camps,,
179,Sakaleshpura (BSU),Dist. Hassan,7829721817,kavitha.sadashiv@gmail.com,Govt.,Camps,,
180,Sambram Institute Of Medical ScienceAND Research Hospital  Blood Centre,"(A unit of sambram charitable trust)  KGF, KGF, Dist. Kolar",8026944320,Vydehibloodbank@vimsmail.com,Private,Camps,,
181,"Sanjay Gandhi Institute Of Trauma And Orthopedics Blood Centre, Bangalore","Sanjay Gandhi Institute of Trauma and Orthopedics, Byrasandra, Jayanagar East, Near NIMHANS, Bangalore, Dist. Bangalore Urban",9886565320,sharath1971@gmail.com,Govt.,Camps,,
182,Sanjeevini Blood Bank,"No.36 Katha no: 10054/B, Ground First and Second  Floors Prasanna chaitra 3rd Main Vidya nagar, near water tank, Behind Manjunatha kalayanamantapa, , Tumkur, Dist. Tumkur",9342171911,bloodcenteryimsyadgir@gmail.com,Charitable/Vol,Camps,,
183,Sanjeevini Trust Jayanagar Voluntary Blood Centre,"Vajras,Complex,1st Floor,1445 and 1482,28th Main,South End A and BCross,9th Block Jayanagard, Bengaluru, Bangalore, Dist. Bangalore Urban",9945527451,lionsbloodbankylk@gmil.com,Charitable/Vol,Camps,,
184,Sapthagiri Blood Bank,"No.15, Chikkasandra, Hesaraghatta Main Road, Bangalore, No.15, Hesarghatta Road,Navy Layout, Chikkasandra, Chikkabanavara, Karnataka, Bangalore, Dist. Bangalore Urban",0,hospetrotarybloodcentre@gmail.com,Private,Camps,,
185,Sedam (BSU),Dist. Kalaburagi,9.45E+19,adluxmedicity@gmail.com,Govt.,Camps,,
186,Sharada Dhanavantari Charitable Hosptial Blood Centre,"S.D.C. Hospital, Sringeri, Chickmagalore, Dist. Chikmagalur",0,aamcbloodbank@gmail.com,Charitable/Vol,Camps,,
187,Shidlaghatta (BSU),"Chikkaballapura, , Dist. Chikkaballapura",8105755375,alphonsamkybloodbank@gmail.com,Govt.,Camps,,
188,Shimoga Mid Town Rotary Charity Foundation,"100ft Road, Vinayaka Nagara, Opposite Usha Nursing Home, 100 Ft.Road, Shimoga, Dist. Shimoga",9844822102,amalabloodbankiritty@gmail.com,Charitable/Vol,Camps,,
189,Shree Basaveshwara Blood Centre,"survey no 821/1+2, #790, 1st floor, Goudappa Gouadar building, Mruthyunjaya nagara, opp HDFC bank, PB Road, Ranebennur, Ranebennur, Dist. Haveri",9.48E+19,ahribbank2005@gmail.com,Charitable/Vol,Camps,,
190,Shree Mahaveer Blood Bank,"4th floor, Radio Complex, CTS No. 116/1A, Shivaji Roadm,  Belagavi, karnataka, Belgaum, Dist. Belagavi",9448478222,apvarkeyhospitallab@gmail.com,Charitable/Vol,Camps,,
191,Shree Swamy Vivekanand Voluntary Blood Ceentre,"1343 1A /2,OPP.Aaraike hospital, near stadium Hadadi Road ,Davanagere ,karnataka, Davanagere, Dist. Davanagere",9632299678,drdhinesh.kumar@asterhospital.com,Private,Camps,,
192,Shridevi Manvi (BSU),"manvi, manvi, Dist. Raichur",9448032867,bloodbank.pmf@asterhospital.in,Govt.,Camps,,
193,Shrimaan Harnamdas Kapoor Blood Centre Bangalore,"Indira Gandhi Institute of Child Health, South Hospital complex, Dharmaram College Post, Byrasandra bangalore, Bangalore, Dist. Bangalore Urban",8088037458,bloodbank@avitishospital.com,Govt.,Camps,,
194,"Shripad Hegde Kadave Institute Of Medical Sciences, T.S.S. Hospital","Mes college  Road, Uttara Kannada, Sirsi, Uttara Kannada, Dist. Uttara Kannada",9880970156,devibeena1987@gmail.com,Private,Camps,,
195,Shri Sai Blood Centre Belagavi,"Shri Sai Hospital ,#40/2 Laxmi Nagar Main Road, Vadagaon, Belagavi, Dist. Belagavi",9449774081,bloodbank@bcmch.org,Private,Camps,,
196,SIDDAGANGASREE VOLUNTARY BLOOD CENTRE AND COMPONENTS,"DOOR NO 41,5TH WARD 9TH DIVISION 2ND FLOOR, P J EXTENSION AVK COLLEGE ROAD DAVANAGERE., Davanagere, Dist. Davanagere",9448418808,bamhlab@gmail.com,Charitable/Vol,Camps,,
197,Sindagi (BSU),"Sindagi-586 128, Vijayapur, Karnataka, Vijayapura, Dist. Vijayapura",0,dhbbkngd@gmail.com,Govt.,Camps,,
198,Sira (BSU),Dist. Tumkur,0,bloodbankmchcalicut@gmail.com,Govt.,Camps,,
199,Sirguppa (BSU),"Bellary, Dist. Ballari",9.34E+19,lab@malabarhospitals.com,Govt.,Camps,,
200,S.K. Voluntary Blood Centre,"14/1, 1st Floor, Mesa Complex, Old Toll Gate Bus Stop, Magadi Main Road, , Bangalore, Dist. Bangalore Urban",7019823205,akgbloodcentre24@gmail.com,Private,Camps,,
201,Smt. Valbai N. Dharamsey Blood Centre,"Nava Nagar, Hubballi, Hubli, Dist. Dharwad",08152-2220358277188468 8310064263,carmelhospitalbb@gmail.com,Charitable/Vol,Camps,,
202,"S.N.R District Hospital, Kolar","SNR Hospital,  Bargarpet  Circle, Kolar, Dist. Kolar",0,bloodbank@chazhikattuhospital.com,Govt.,Camps,,
203,Soundatti (BSU),"Belagavi, , Dist. Belagavi",9590993699 08396222399,aochitrahospital@gmail.com,Govt.,Camps,,
204,"Spandana Blood Centre, Siruguppa","No.47, KMRP No.14, Sri Guru Datta Complex, Above TVS  Showroom, APMC Yard, Kuvempunagar, Siruguppa, Ballari, Karnataka, Siruguppa, Dist. Ballari",9513466057,bloodbank.tcr@cimarindia.org,Private,Camps,,
205,Sparsh Hospital Blood Centre,"ground Floor No. 8 ideal homes,HBCS Layout,Rajarajeshwari Nagar, Dist. Bangalore Urban",9739522622,bloodbank.tcr@cimarindia.org,Private,Camps,,
206,Sree Siddaganga Hospital Blood Centre,"2638/A, PID no 4797, basement, BH Road, Tumakuru, Dist. Tumkur",8022977220,bloodbank@cosmopolitanhospitals.in,Private,Camps,,
207,"Sri Jayadeva Institute Of Cardiovascular Sciences AND Research, Bengaluru","Sri Jayadeva Institute of cardiovascular Sciences &research, Gurappanapalya Post Banneraghatta Road Bengaluru, opposite AIRTEL, Bangalore, Dist. Bangalore Urban",9611150541,bloodcentre@craftivf.com,Govt.,Camps,,
208,Sri madhusudan Sai Institute of Medical Sciences and Research,"satya Sai Grama, Muddenahalli, chikkaballapura, Chikkaballapura, Dist. Chikkaballapura",6364462275,lab@dayageneralhospital.com,Private,Camps,,
209,Srinivasa Institute Of Medical Sciences And Research Centre,"Srinivasnagar,Mukka,Surathkal, Mangalore, Dist. Dakshina Kannada",8028004710,modelbdbanktvm@gmail.com,Private,Camps,,
210,Sri Sathya Sai Institute Of Higher Medical Sciences,"SSSIHMS, EPIP Area, Whitefield, Bengaluru, Bangalore, Dist. Bangalore Urban",8660896833,dmhadmn@gmail.com,Private,Camps,,
211,Sri. Shankara Cancer Hospital And Research Centre,"Shankara Math Premises,1 st cross Shankarapuram, Basavanagudi , Bangalore, Dist. Bangalore Urban",9945703890,dmhpottalab@gmail.com,Charitable/Vol,Camps,,
212,Sri Sidhartha Medical College Blood Bank,"Sri Siddartha medical college Blood bank Agalakote B.H.Road, , Tumkur, Dist. Tumkur",7760160961,bbdhkannur@gmail.com,Private,Camps,,
213,S R Patil Blood Centre,"M/s S R Patil Blood centre,  Unit of S R Patil Hospital and  Research Centre, 1st Floor, N H 218, ,  Hubli- Vijayapur Road, At/Po:  Badagandi, Bilagi, Dist. Bagalkot",9886055699,dhkpta@gmail.com,Private,Camps,,
214,S S blood bank,"NH4, bypass, , Davangere, Dist. Davanagere",9.69E+19,dhmvkkbb@gmail.com,Private,Camps,,
215,St. Martha's Hospital Blood Centre,"No. 5 Nrupatunga Road, Opposite to RBI Bengaluru, Bangalore, Dist. Bangalore Urban",8095155665,bbghpmna@gmail.com,Private,Camps,,
216,Subbaiah Medical College Blood Centre,"NH-13, Purle, Holehonnur Road, SHIMOGA, Shimoga, Dist. Shimoga",9845065555,dhbloodbankvtk@gmail.com,Private,Camps,,
217,sub divisional hospital Pandavapura (BSU),"sub divisional hospital Pandavapura, Mandya, Dist. Mandya",9731651007,manager.lab@drkmcims.com,Govt.,Camps,,
218,Suguna Laboratory Blood Storage Unit,"Dr Rajkumar Road, 4th N Block, RjajiNagar, Bengalore, Dist. Bangalore Urban",8472244633,bloodbanksmcsi@gmail.com,Private,Camps,,
219,Suraksha Blood Centre,"1-10/A, 4th Floor, Vaatsalya Life Hospital, Khuba Plot, Kalaburagi, Kalaburagi, Dist. Kalaburagi",9902242755,ehplbloodcentre@gmail.com,Charitable/Vol,Camps,,
220,Surya Hospital Blood Centre,"C/o Surya Hospital. Khata No.3195/2/1077, Basement, No.1 Main,Vinayaka Nagara,Tumakuru, Tumkur, Dist. Tumkur",9972360269,emchospitaledv@gmail.com,Private,Camps,,
221,Sushrutha Medical Aid And Research Hospital Ltd.,"202, Rashtriya Vidyalaya road, Basavanagudi, Bangalore, Dist. Bangalore Urban",9448068318,santhosh.g@esic.nic.in,Private,Camps,,
222,Swamy Vivekananda Charitable Blood Centre Ballari,"D.No.130, Near TVS Show Room, Parvathi nagar Main Road Ballari, Bellary, Dist. Ballari",9886763931,fellowshiphosp@hotmail.com,Charitable/Vol,Camps,,
223,Swamy Vivekananda Voluntary Blood Bank,"Unit of Sri. Maruthi Charitable & Educational Tru,Bengaluru, bangalore , Dist. Bangalore Urban",9448657716,bloodbankdhthrissur@gmail.com,Charitable/Vol,Camps,,
224,Taluka General Hospital Blood Storage Centre(BSU),"Taluka General Hospital Blood Storage Centre Hoskote , Dist. Bangalore Rural",7892765372,ghbbekm@gmail.com,Govt.,Camps,,
225,Taluk General hospital Blood Storage Centre   (BSU),"Taluk General hospital Blood Storage Centre CHIKKAMAGALUR (Dist) , Birur, Dist. Chikmagalur",9901163262,bloodbank.dhktm@gmail.com,Govt.,Camps,,
226,Taluk General Hospital Blood Storage Centre(BSU),"Taluk General Hospital Blood Storage Centre,Tarikere ,Chikkamagaluru, Dist. Chikmagalur",9535636425,marysbrijit@gmail.com,Govt.,Camps,,
227,Taluk General Hospital (BSU),"Taluk General Hospital Virajpet, Dist. Kodagu",7259341597,bloodbankghtvm2015@gmail.com,Govt.,Camps,,
228,TALUK HOSPITAL BLOOD STORAGE CENTRE ANKOLA BSU,"TALUK HOSPITAL BLOOD STORAGE CENTRE ANKOLA Karwar, Dist. Uttara Kannada",8970174341 9972569345,bloodbank@gimcarehospital.com,Govt.,Camps,,
229,"Taluk Hospital Blood Storage Centre, Indi","Taluk Hospital Blood Storage Centre, Taluk Hospital Indi, Vijayapura, Karnataka, Indi, Dist. Vijayapura",0,beachbloodbank@gmail.com,Govt.,Camps,,
230,Temp BloodBank,Dist. Kodagu,9986047009,bbgmcparippally@gmail.com,Govt.,Camps,,
231,The GIMS Hospital Blood Centre,"GIMS Hospital, TCC Building 1st floor Gulbarga, Kalaburagi, Gulbarga, Dist. Kalaburagi",9900004244,dhneyyattinkara@gmail.com,Govt.,Camps,,
232,The Oxford Medical College Hospital Blood Centre And Research Centre,"Yadavanahalli Attibele, Hosur Main Road, Bangalore, Dist. Bangalore Urban",9901369298,cmcbloodbank@gmail.com,Private,Camps,,
233,The Uttara Kannada Blood Centre AND Health Services Society,"Baggon road kumta, Baggon road kumta, Kumta, Dist. Uttara Kannada",0,thqhpbloodbank@gmail.com,Charitable/Vol,Camps,,
234,T.Narasipura (BSU),Dist. Mysore,9916344800,bloodbankwc@gmail.com,Govt.,Camps,,
235,"TUNGAL HOSPITAL BLOOD CENTRE, JAMAKHANDI","Tungal Hospital Blood Centre, kudchi Road Jamakhandi, TUNGAL HOSPITAL  AND COLLEGE , JAMAKHANDI, Jamakhandi, Dist. Bagalkot",9.45E+17,riacherian78@gmail.com,Private,Camps,,
236,Unique Blood Centre AND Diagnostic Centre,"16, 1st Floor, SLN Commercial Complex, Old Tharagupet, Mamulpet, City Market, Bangalore, Dist. Bangalore Urban",9.85E+19,hfhbloodbank@gmail.com,Private,Camps,,
237,Vanivilas (BSU),"Bangalore, , Dist. Bangalore Urban",9.89E+19,imabloodbanktsr@gmail.com,Govt.,Camps,,
238,Veerayoga Institute Of Medical Sciences Speciality Hospitals,"No. 88, Marathhalli, Outer Ring Road, Bangalore, Dist. Bangalore Urban",8310716240,imabloodbnk@gmail.com,Private,Camps,,
239,Vijaya Hospital'S Sanjeevini Blood Centre,"10054/A, 4511/A, 3rd Main Road, Tumkur, Dist. Tumkur",9.48E+19,aliceousephparampil@gmail.com,Private,Camps,,
240,Vijayapur Blood Centre Vijayapur,"Om sai complex,CTS no:1771/AIA,ground floor ,station back road, opp zilla kaigarike kendra, , Vijayapur, Dist. Vijayapura",9.89E+19,drsskamath@gmail.com,Private,Camps,,
241,"V.I.S.L. Hospital Blood Centre, Shimoga","VISL Hospital, New Town, Bhadravathi, Dist. Shimoga",9.48E+20,ichvkdlab@gmail.com,Govt.,Camps,,
242,Vydehi Institute Of Medical Science Hospital,"Vijayanagar, Nallurhalli, Whitefield,EPIP AREA, 06 WHITE FIELD, VIMS & RC,  Bangalore, Bangalore, Dist. Bangalore Urban",9686646803,wayanadlab@iqraahospital.in,Charitable/Vol,Camps,,
243,Wenlock District Hospital Blood Centre,"Wenlock Hospital Hampamakatta , Mangalore, Mangalore, Dist. Dakshina Kannada",o,josgirilab@gmail.com,Govt.,Camps,,
244,Yadgiri Institute of Medical Sciences Blood Centre,"Teaching Hospital, 2nd Floor, Survey No:28, Mudnal Village, Yadgir, Dist. Yadgir",0,jmhbloodcentre@gmail.com,Govt.,Camps,,
245,Yalahanka (BSU),"Bangalore, , Dist. Bangalore Urban",998650057008028561125 9152388169,ktcthospitals@gmail.com,Govt.,Camps,,
246,Yallapur (BSU),Dist. Uttara Kannada,6366981801,karunabloodbank@gmail.com,Govt.,Camps,,
247,Yelahanka Lions Blood Centre,"16th A Main Road Yekahanka Blood Bank , Banglore, Dist. Bangalore Urban",9544905557,bloodcentrekmc@tmc.ac.in,Charitable/Vol,Camps,,
248,Y UMAMAHESHWAR RAO ROTARY BLOOD CENTRE,"D NO:209Asst No.2161ST FLOOR ,ROTARY CLUB, RAILWAY STATION ROAD HOSPET, HOSPETE, Dist. Vijayanagara",9497541172,shinaskhan147@gmail.com,Charitable/Vol,Camps,,
249,Adlux Medicity and Convention Centre Pvt Ltd.,"Cable Junction, Karukutty PO, Angamaly, BLOCK NO.3, FIRST FLOOR, APOLLO ADLUX HOSPITAL, Ernakulam, Dist. Ernakulam",9497232451,lab@kinderkochi.com,Private,Camps,,
250,Al-Azhar Medical College AND Super Speciality Hospital,"Ezhalloor P O, Kumaramangalam, Thodupuzha, , Idukki, Dist. Idukki",9995372170,lab@kodakarasanthihospital.com,Private,Camps,,
251,"Alphonsa Hospital, Murikkassery","Alphonsa Hospital., Murickassery po. Murickasery. Idukki(dist), Murikkassery, Dist. Idukki",9037629514,koyaslabreport1@gmail.com,Charitable/Vol,Camps,,
252,Amala Multi Speciality Hospital,"Keezhur , Iritty, Dist. Kannur",6282406550,reports.ktctbloodcentre@gmail.com,Private,Camps,,
253,Ananthapuri Hospital and Research Institute,"NH Bypass, Chacka, Trivandrum, Dist. Thiruvananthapuram",9884331122,lhrcbloodbank@gmail.com,Private,Camps,,
254,A P Varkey Mission Hospital,"Thottappady, Arakkunnam, Ernakulam, Dist. Ernakulam",9446184088,bloodbank@lifelinehospitalkerala.com,Private,Camps,,
255,"Aster Medcity, Aster DM Healthcare Private Ltd.","IX/475 L, Kuttysahib Road, Near Kothad Bridge, South Chittoo, Ernakulam, Dist. Ernakulam",9188528422,bloodbanklisie@gmail.com,Private,Camps,,
256,Aster PMF,"Aster PMF Blood Center,Aster PMF Hospital,Manakkara,Sasthamcotta P O, Sasthamcotta, Dist. Kollam",9901523053,little.lourdes2015@gmail.com,Private,Camps,,
257,Avitis Super Speciality Hospitals,"BULDING XX/882,POLLACHI - TRISSUR MAIN ROAD, NEAR JAPAMALARANI CHURCH, NEMMARA, Dist. Palakkad",9495998449,lourdesbloodbank@gmail.com,Private,Camps,,
258,Azeezia medical college blood bank,"Azeezia Medical College, Meeyannoor , Kollam, kollam, Dist. Kollam",8281653853,mccbloodbank@gmail.com,Private,Camps,,
259,Believers Church Medical College Hospital,"Believers Church Medical College Hospital, Kuttapuzha, PO Thiruvalla, Pathanamthitta Dist, Kerala, Pathanamthitta, Dist. Pathanamthitta",9847882073,jithin01@asterhospital.com,Private,Camps,,
260,BISHOP ALAPPATT MISSSION HOSPITAL KARANCHIRA,"Bishop Alappatt Mission Hospital, Kattoor P.O, Karanchira, Thrissur, IRINJALAKUDA, Dist. Thrissur",4.95E+19,malankaralab75@gmail.com,Private,Camps,,
261,"Blood Centre District Hospital, Kanhangad","BLOOD BANK DISTRICT HOSPITAL KANHANGAD KASARGOD BALLA PO CHEMATTAMVAYAL, , Kanhangad, Dist. Kasaragod",8921186494,labpta@muthoothealthcare. com,Govt.,Camps,,
262,Blood Centre Govt Medical Hospital Kozhikode,"Govt. medical hospital kozhikode, Kozhikode, Dist. Kozhikode",9495300300,mthlabkuzhikkattussery@gmail.com,Govt.,Camps,,
263,"Blood Storage Centre of M/s Malabar Multi-Speciality Centre Pvt Ltd ,Eranhipalam","Blood Storage Centre of M/s Malabar Multi-Speciality Centre Pvt Ltd ,Eranhipalam, Kozhikode, Kerala, Kozhikode, Dist. Kozhikode",9544176400,bloodbankmimh@gmail.com,Private,Camps,,
264,Cannannore Co-Op Hospital Society,"AKG MEMORIAL CO-OPERATIVE HOSPITAL SOCIETY LIMITED,NO.C.834, TALAP,  KANNUR,KERALA, kannur, Dist. Kannur",9526384653,eo@specialisthospital.org,Private,Camps,,
265,Carmel Hospital,"Ashokapuram, Alwaye, Ernakulam, Dist. Ernakulam",9447612054,bbmchalpy@gmail.com,Charitable/Vol,Camps,,
266,Chazhikattu Hospital Blood Bank,"Thodupuzha Town Road, Thodupuzha, , Idukki, Dist. Idukki",8129736267,bloodbankmanjeri@gmail.com,Private,Camps,,
267,Chitra Hospital,"Main Central Rd, Kadakkadu, Pandalam, , Pathanamthitta, Dist. Pathanamthitta",8129736267,bloodbank@meditrinahospital.com,Private,Camps,,
268,CIMAR The Women's Hospital,"Kanimangalam, KANIMANGALAM, Dist. Thrissur",9495230076,mesbloodbank@gmail.com,Private,Camps,,
269,CIMAR-The Women's Hospital (A Unit of Edappal Hospital Pvt. Ltd.),"Kanimangalam, Dist. Thrissur",9249095262,mjashabloodstorage@gmail.com,Private,Camps,,
270,Cosmopolitan Hospitals Pvt Ltd,"THE CHAIRPERSON AND MANAGING DIRECTOR, M/S. COSMOPOLITAN HOSPITALS Pvt.Ltd, MURINJAPALAM, PATTOM P.O,THIRUVANANTHAPURAM, Trivandrum, Dist. Thiruvananthapuram",9946035785,bloodbank@mmchospital.in,Private,Camps,,
271,Craft Hospital and Research Centre,"CHANTHAPURA, KODUNGALLOOR, Kodungallur, Dist. Thrissur",9496156017,charities@modernhospital.com,Private,Camps,,
272,Daya General Hospital and Trauma Centre,"Goruvayoor Road, Kunnamkulam, Kunnamkulam, Dist. Thrissur",9447828151,bbank@moscmm.org,Private,Camps,,
273,Dept.Of Transfusion Medicine Medical College Hospital,"Medical colleg.p.o Thiruvananthapuram, 0471-2528300, 0471-2528469, 0471-2528225, Thiruvananthapuram, Dist. Thiruvananthapuram",9847897411,merlymotherhospital@gmail.com,Govt.,Camps,,
274,Devamatha Hospital,"Koothattukulam, , Ernakulam, Dist. Ernakulam",9446395351,bloodstorge070@gmail.com,Private,Camps,,
275,Dhanya Mission Hospital Potta,"The Administrator, M/s Dhanya Mission Hospital, D. No. 11/222, Potta P.O., Thrissur, Dist. Thrissur",9961475502,mandiramlab43@gmail.com,Private,Camps,,
276,District Hospital Kannur Blood Centre,"ayikkara road ,kannur, Kannur, Dist. Kannur",9995519081,mcsshospital@gmail.com,Govt.,Camps,,
277,"District Hospital, Kozhenchery","Kozhencherry, , Dist. Pathanamthitta",9847265973,nkhbloodcentre@gmail.com,Govt.,Camps,,
278,District Hospital Mavelikkara,"The Superintendent  District Hospital Mavelikkara Thazhakkara PO Alappuzha, Mavelikkara, Dist. Alappuzha",8848903316,neyyarmedicitybloodbank@gmail.com,Govt.,Camps,,
279,DISTRICT HOSPITAL PERINTHALMANNA,"Blood Centre, District Hospital, Perinthalmanna, Perinthalmanna, Dist. Malappuram",9188954807,lab.nirmalahospital@gmail.com,Govt.,Camps,,
280,District Hospital Vatakara,"Kozhikode, Kerala, Vatakara, Dist. Kozhikode",9447144959,lab.nimshospital@gmail.com,Govt.,Camps,,
281,Dr.KM Cherian Institute of Medical Sciences,"Dr.KM Cherian Institute of Medical Sciences Umayattukara, kallissery PO ,Chengannur Alappuzha Dist. Kerala, CHENGANNUR, Dist. Alappuzha",9400776734,paalanabloodcentre@gmail.com,Private,Camps,,
282,"Dr Somervell Memorial CSI Medical College and Hospital, Karakonam","Dr.S.M.C.S.I Medical College & Hospital Karakonam P.O Thiruvananthapuram, Kerala, Trivandrum, Dist. Thiruvananthapuram",9745893368,rgchbloodbank@gmail.com,Charitable/Vol,Camps,,
283,Edappal Hospital Pvt. Ltd,"Pattambi Road, Edappal, Dist. Malappuram",9447088838,AO@PIMSHOSPITAL.COM,Private,Camps,,
284,EMC Hospital,"Near Seethi Haji Bridge, Edavanna, Dist. Malappuram",9495204150 0469-2744900,poyanilhospitals@gmail.com,Private,Camps,,
285,ESIC Hospital Ezhukone,"Ezhukone, Dist. Kollam",8281006383,krishmohan123@yahoo.com,Govt.,Camps,,
286,Fellowship Mission Hospital Blood Centre,"Vellikkara, Kumbanad, Thiruvalla, Pathanamthitta, Dist. Pathanamthitta",9633302589,ihbt@pushpagiri.in,Private,Camps,,
